"V1","V2","V3","V4","V5"
NA,"Scenario","N = 25","N = mixed","N = 1750"
"µ = 0","Current","0.234 (0.082)","0.027 (0.05)","0.009 (0.033)"
NA,NA,"[7122.56 (1495.11)]","[3439.53 (1533.97)]","[1750 (0)]"
NA,NA,"%H1: 92.1","%H1: 13.8","%H1: 4.5"
NA,"Maxwell","0.213 (0.083)","0.02 (0.049)","0 (0.034)"
NA,NA,"[7456.88 (1528.89)]","[3748.38 (1570.91)]","[1750 (0)]"
NA,NA,"%H1: 99.5","%H1: 20.9","%H1: 9.4"
NA,"Ideal","0 (0.06)","0 (0.054)","0 (0.034)"
NA,NA,"[550 (0)]","[934.526 (644.37)]","[1750 (0)]"
NA,NA,"%H1: 2.4","%H1: 2.4","%H1: 2.4"
"µ = 0.2","Current","0.533 (0.063)","0.28 (0.116)","0.207 (0.033)"
NA,NA,"[3497.56 (704.825)]","[2989.55 (914.897)]","[1750 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Maxwell","0.526 (0.064)","0.275 (0.113)","0.2 (0.034)"
NA,NA,"[3670.64 (722.527)]","[3141.85 (937.427)]","[1750 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Ideal","0.2 (0.06)","0.2 (0.054)","0.2 (0.034)"
NA,NA,"[550 (0)]","[933.248 (643.412)]","[1750 (0)]"
NA,NA,"%H1: 91.2","%H1: 93.7","%H1: 100"
"µ = 0.5","Current","0.734 (0.042)","0.636 (0.11)","0.504 (0.033)"
NA,NA,"[1159.83 (187.634)]","[1675.99 (623.305)]","[1750 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Maxwell","0.733 (0.042)","0.634 (0.11)","0.5 (0.034)"
NA,NA,"[1215.55 (192.115)]","[1728.02 (620.267)]","[1750 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
NA,"Ideal","0.5 (0.06)","0.5 (0.054)","0.5 (0.034)"
NA,NA,"[550 (0)]","[931.053 (642.732)]","[1750 (0)]"
NA,NA,"%H1: 100","%H1: 100","%H1: 100"
